Data;Hora ;TEMPERATURA 
01/01/2023;0;20,5
01/01/2023;01:00;19,7
01/01/2023;02:00;19,3
01/01/2023;03:00;19,7
01/01/2023;04:00;20
01/01/2023;05:00;19,6
01/01/2023;06:00;19,2
01/01/2023;07:00;19
01/01/2023;08:00;18,8
01/01/2023;09:00;18,9
01/01/2023;10:00;21,5
01/01/2023;11:00;22,1
01/01/2023;12:00;23,4
01/01/2023;13:00;26
01/01/2023;14:00;26,6
01/01/2023;15:00;28,9
01/01/2023;16:00;29,3
01/01/2023;17:00;23,1
01/01/2023;18:00;22,5
01/01/2023;19:00;22,8
01/01/2023;20:00;23,6
01/01/2023;21:00;22,9
01/01/2023;22:00;21,6
01/01/2023;23:00;20,8
02/01/2023;00:00;20,8
02/01/2023;01:00;20,6
02/01/2023;02:00;20,1
02/01/2023;03:00;19,6
02/01/2023;04:00;19,5
02/01/2023;05:00;19,4
02/01/2023;06:00;19,4
02/01/2023;07:00;19,6
02/01/2023;08:00;19,4
02/01/2023;09:00;19,7
02/01/2023;10:00;20,9
02/01/2023;11:00;23,1
02/01/2023;12:00;26
02/01/2023;13:00;27,3
02/01/2023;14:00;29,6
02/01/2023;15:00;29,5
02/01/2023;16:00;30,8
02/01/2023;17:00;31,8
02/01/2023;18:00;29,5
02/01/2023;19:00;24,7
02/01/2023;20:00;25,2
02/01/2023;21:00;25,3
02/01/2023;22:00;24,3
02/01/2023;23:00;22,9
03/01/2023;00:00;23
03/01/2023;01:00;23,2
03/01/2023;02:00;21,6
03/01/2023;03:00;22,3
03/01/2023;04:00;22
03/01/2023;05:00;21,4
03/01/2023;06:00;21,4
03/01/2023;07:00;21,3
03/01/2023;08:00;20,2
03/01/2023;09:00;20,5
03/01/2023;10:00;21,2
03/01/2023;11:00;22,4
03/01/2023;12:00;24,3
03/01/2023;13:00;26,2
03/01/2023;14:00;27,1
03/01/2023;15:00;27,2
03/01/2023;16:00;29,2
03/01/2023;17:00;29
03/01/2023;18:00;29,6
03/01/2023;19:00;29,6
03/01/2023;20:00;28,1
